,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zipcode,RentPrice,eviction_filings_completed,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,back_rent_median,crime,violent_crime,non_offensive_crime,eviction_filings_completed_scaled,crime_scaled,violent_crime_scaled,non_offensive_crime_scaled,RTI_ratio,time_to_CBD,distance_to_CBD,crime_scaled_norm,violent_crime_scaled_norm,non_offensive_crime_scaled_norm,RTI_ratio_norm,time_to_CBD_norm,distance_to_CBD_norm,violent_crime_scaled_g1,crime_scaled_g1,non_offensive_crime_scaled_g1,RTI_ratio_g1,time_to_CBD_g1,distance_to_CBD_g1,wdi,wdi_scaled
0,72333,165259,0.0,28.5,7.5,823,10,0,7,56,161,127,141,18,26,29,39,52,85,18,21,24,9,0,64.6,5.0,0.0,29.2,3.4,60604,1426.771703,110,17,2,21,25,45,4816.053333,1233,842,391,0.133657351,1.4981774,1.02308627,0.47509113,0.23670054381817426,172.33333333333334,674.5555555555555,3.4564226995535208,3.171410315897568,4.169623271174811,-1.4763360130310093,-2.1544166177202544,-1.6093813403717516,21.841845724492075,18.331820176004545,13.69550960437997,0.0,0.0,0.0,84.25682711077538,0.7113006865906139
1,25737,69562,23.0,20.9,9.9,33735,2255,1945,2211,2300,3004,3452,3400,2521,2411,1609,1878,1817,1607,1235,760,603,531,196,29.4,59.6,0.2,4.4,12.0,60612,1648.49854,571,107,82,166,131,85,2728.785897,4910,2747,2163,0.016926041,0.145546169,0.081428783,0.064117386,0.7686203706725726,772.3076923076923,7124.0,-0.10686624578376226,-0.14304966241020872,0.0007569093820553958,1.240367692647501,-0.740840718064482,-0.826961182932749,0.8180125697700379,0.8780635500270976,0.9832777382535806,1.5620679022419088,0.0,0.0,3.4870029871358925,0.029435723869969357
2,56217,121260,7.7,45.0,3.0,50761,2726,1328,1245,687,5490,8445,7514,5801,2780,2754,2506,2553,2028,1381,1276,804,503,940,81.7,6.0,0.1,7.0,11.1,60613,1555.691626,292,33,16,96,111,36,7211.085714,2689,1583,1106,0.005752448,0.05297374,0.031185359,0.021788381,0.3320756979561343,1043.9,12120.2,-0.35073338809043025,-0.31989721082368877,-0.4286232338726859,-0.9892211855794283,-0.10095280461758616,-0.22084268322785258,0.0,0.0,0.0,0.10691899318711433,0.0,0.0,0.0016422739929208945,1.2045181536126284e-05
3,24162,56362,32.5,11.6,14.5,83553,5372,5690,6600,6938,6208,5913,4382,4608,4995,5287,5189,5615,4178,3281,3093,2545,1999,1660,36.9,56.7,0.2,0.3,37.2,60617,995.3329105,1111,311,86,343,251,120,2505.973939,10899,5912,4987,0.013296949,0.130444149,0.070757483,0.059686666,0.4943297295753663,1489.3333333333333,24608.75,-0.1466500831556664,-0.18061066230115508,-0.04418776125978102,-0.16053214879737898,0.9485150859431262,1.2942170000293394,0.5797607278410357,0.6831937469354049,0.846226793281574,0.6477657652512211,0.24111111111111105,0.6992646043364176,2.562050869918249,0.02162720815549227
4,39271,114178,18.0,30.2,3.5,94907,6642,6266,5414,3999,5289,9937,11041,9276,7824,6838,5010,4713,3959,2888,2235,1579,960,1037,76.3,2.9,0.2,6.2,40.3,60618,1545.972107,310,73,18,79,86,54,3178.25375,3285,1836,1449,0.003266355,0.034612832,0.019345254,0.015267578,0.4724011429298974,969.9230769230769,11860.076923076924,-0.3991022405931083,-0.3615721878755749,-0.49476944558439384,-0.2725292385699787,-0.27524691240411014,-0.25239974842204754,0.0,0.0,0.0,0.5746704764329913,0.0,0.0,0.008826929152743858,7.269858366826684e-05
5,16725,38311,33.8,6.2,20.1,34892,2839,2891,2708,2844,2507,2849,2086,2072,2384,1738,1926,2041,1969,1400,739,846,634,419,4.5,90.7,0.0,0.2,5.1,60624,1426.771703,1101,255,97,393,242,114,2407.114722,9709,4533,5176,0.031554511,0.278258627,0.129915167,0.14834346,1.0236927017040358,814.3333333333334,9440.666666666666,0.24274333268969112,0.02761343057156299,0.8551356910213698,2.543112790582934,-0.6418257644538228,-0.5459126812081697,1.9005395624023218,2.590526555524013,3.58855702310619,2.4123090056801195,0.0,0.0,8.963798811120071,0.07567124834793551
6,27826,59984,18.7,26.7,5.5,50544,2851,2899,2046,3112,4919,5205,5260,4176,3330,3444,3181,2777,2387,1579,1336,623,632,787,57.0,27.2,0.1,5.4,19.6,60626,1157.858708,512,72,34,178,176,52,2715.726667,3541,2179,1362,0.010129788,0.070057771,0.043110953,0.026946819,0.4993281282254007,1624.5,18242.7,-0.30572826222246224,-0.27792132832263733,-0.37629668267190286,-0.13500354946821005,1.2669759327757006,0.5219139146751992,0.0,0.0,0.0,0.664427094084669,0.35375,0.25968098328960093,0.010205589337131563,8.433733719325841e-05
7,35562,92124,25.6,25.3,4.8,56433,3111,3248,3172,2817,2842,3793,4132,4668,3979,3990,4313,3950,3731,2923,1976,1364,1089,1335,70.7,1.7,0.3,11.2,28.5,60630,1426.771703,200,34,9,64,49,44,3427.714483,3689,2113,1576,0.003544026,0.065369553,0.037442631,0.027926922,0.4814481872785557,1122.6153846153845,18230.0,-0.3180786168423101,-0.2978727721039806,-0.3663546401754066,-0.2263227659652911,0.0845054053210115,0.5203732027448816,0.0,0.0,0.0,0.6048272909285191,0.0,0.2588040325921834,0.009290137331936793,7.660902214283628e-05
8,24267,60088,39.1,8.6,10.2,89857,6734,7505,7289,6951,6733,8286,6432,6319,6025,5215,4799,4264,3921,2876,2956,1818,689,1045,52.5,1.9,1.0,6.9,83.0,60632,1426.771703,289,75,40,90,55,29,2045.770811,3562,1920,1642,0.003216221,0.039640763,0.021367284,0.018273479,0.7055367550995179,1059.4444444444443,13184.555555555555,-0.3858569668336274,-0.35445501671465823,-0.4642779610340349,0.9181772354720291,-0.06432915277058525,-0.09171943105902351,0.0,0.0,0.0,1.3517891836650595,0.0,0.0,0.02076345983131129,0.00017346767824616478
9,30141,82065,21.0,27.6,7.3,47270,4422,3241,3216,3183,1956,3830,3422,3133,3291,2735,3429,2418,2649,2033,1489,989,929,905,54.6,15.4,0.2,17.9,17.6,60645,1298.174425,336,42,10,120,127,37,2587.465,3530,1933,1597,0.007108102,0.074677385,0.040892744,0.033784641,0.5168406190902757,1700.0,20158.0,-0.293558633782229,-0.2857290132351687,-0.3069346697941983,-0.045561031204475654,1.4448585019682483,0.7542702579930783,0.0,0.0,0.04502585913576049,0.7228020636342524,0.4166666666666667,0.3919348156331998,0.013756002021791423,0.00011431018954418926
